FEScript_FE_Intro,FEScript_FE_Understanding,FEScript_Licensed_Specialist,FEScript_Named_Title,FEScript_Previous_Call_Reference,FEScript_Receiving_Benefits,FEScript_Recorded_Line
1,1,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,0,0,1
0,0,0,1,1,0,1
1,1,0,1,0,0,1
0,0,0,1,1,1,1
1,1,0,1,1,1,1
1,1,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,1,0
0,0,0,0,0,0,0
1,0,1,1,1,1,1
0,0,0,1,0,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,0,0,0,1
0,0,1,1,1,0,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,0,0,1
0,0,0,0,0,0,0
1,1,0,1,1,0,1
1,0,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,1,1,1,0,1
1,1,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
1,1,0,1,1,0,1
0,0,0,1,0,0,1
0,1,0,1,1,0,1
0,0,1,1,1,1,1
0,0,0,1,1,0,0
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
1,1,0,1,0,0,1
0,0,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,0,0,1
0,0,0,0,1,1,0
0,0,0,1,1,0,1
0,1,0,1,1,1,1
0,0,0,1,0,0,1
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
1,1,0,1,1,0,1
0,0,0,0,1,0,1
1,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,0,0,0,1
0,0,0,1,0,0,1
0,0,0,0,0,0,0
1,1,0,1,1,0,1
0,0,1,1,1,1,1
1,0,0,1,1,1,1
1,1,1,1,1,0,1
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,1,0,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,0,0,0
1,1,0,1,1,1,1
1,1,1,1,1,0,1
0,0,0,0,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,0
0,0,0,1,1,0,0
1,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,0
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,1,1,1,0,1
0,0,0,1,0,0,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
1,1,1,1,1,0,1
0,0,0,1,1,0,1
1,0,0,0,1,0,0
0,0,0,1,1,0,1
1,1,1,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
1,0,0,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,1,0,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
1,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,1,1,1,1,1
1,1,0,1,1,1,1
0,0,0,1,1,0,1
1,1,1,1,1,0,1
1,1,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,1,0,1
1,1,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,1,0,0,1
1,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,0,1,1
0,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,1,1,1
0,0,0,0,0,0,0
1,1,0,1,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,0,1,1
0,0,0,1,1,0,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,1,1,1,0,1
1,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,1,1,1,1
0,0,0,1,1,0,1
1,1,0,1,1,0,1
0,0,0,1,1,0,1
0,0,1,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,0,1
1,1,1,1,1,1,0
0,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,1,1,1,1,1
0,0,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,1,1,1,1,1
0,0,0,1,0,0,1
0,0,0,1,1,0,1
1,0,0,1,1,0,1
1,1,1,1,1,0,1
1,0,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,1,1,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,1,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,0,0,0,0
1,1,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,1,0,0,1
0,0,0,1,1,1,1
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,0,0,1
1,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,1,1,1,1,1
1,1,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,0,0,1
0,0,0,0,1,0,0
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,0,0,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
1,0,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,1,0,1,1,0,1
1,1,1,1,1,0,1
0,0,1,1,1,0,1
0,0,0,1,1,0,1
1,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
1,1,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,0
0,0,0,1,0,0,1
0,0,0,1,1,1,1
0,0,0,0,0,0,0
0,0,1,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,0,0,0,0
1,1,0,1,1,0,1
0,0,0,1,0,0,0
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
1,1,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
1,0,1,1,1,1,1
0,0,0,1,0,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
1,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,0,0,1
0,0,0,0,0,0,0
0,0,0,1,1,1,1
1,1,1,1,1,0,1
0,0,0,0,0,0,0
1,1,0,1,1,1,1
0,0,0,1,0,0,1
1,1,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
1,0,1,1,1,1,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,1,0,1
0,0,1,1,1,0,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,1,1,1
0,0,0,0,0,0,0
1,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,0,0,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,0,0,1
0,0,0,0,1,0,1
1,0,0,1,1,0,1
0,0,0,1,1,0,1
1,1,1,1,1,1,1
0,0,0,1,1,1,1
1,1,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
1,0,1,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
1,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,1
1,1,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
1,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
1,1,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0,0,0,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
1,1,1,1,1,1,1
0,0,0,1,1,0,1
1,1,0,1,1,0,1
1,1,0,1,1,0,1
0,1,1,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
1,1,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
1,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
1,1,0,1,1,0,1
1,0,1,1,1,0,1
0,0,0,0,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,1,1,1
1,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
1,1,0,1,1,0,1
0,0,0,0,0,0,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,1,1,1
1,1,0,1,1,1,1
0,0,1,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,0,0,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
1,1,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,1,1,1,1,1
1,0,0,1,0,0,1
0,0,0,1,1,0,1
1,1,0,1,1,0,1
1,0,0,1,1,1,1
0,0,0,1,0,0,1
0,1,0,1,1,1,1
0,0,0,1,0,0,1
0,0,0,1,1,1,1
0,0,0,1,1,0,0
1,1,1,1,1,0,1
0,0,0,1,0,0,1
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,1,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
1,1,0,1,1,1,1
0,0,0,0,0,0,1
0,0,0,1,1,0,1
1,1,0,1,1,1,1
0,0,0,0,0,0,0
0,1,0,1,1,0,1
0,0,0,0,0,0,1
0,0,1,1,1,1,1
0,0,1,1,1,1,1
0,0,1,1,1,1,1
1,1,0,1,1,0,1
0,0,0,1,1,1,0
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,0
0,0,0,0,0,0,0
0,0,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,0,0,1
0,0,1,1,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,1,0,1
0,0,0,1,1,0,1
1,1,1,1,1,1,1
0,0,0,1,1,0,1
1,1,0,1,1,1,1
0,0,0,0,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,1,1,1,1,1
0,0,0,0,0,0,1
0,0,0,1,0,0,1
1,1,0,1,1,0,1
0,1,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,1,0,0,1
0,0,0,1,1,1,1
0,1,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
1,1,0,1,1,0,1
0,0,1,1,1,1,1
0,0,0,0,0,0,1
1,1,0,1,1,0,1
1,1,0,1,1,0,0
0,0,0,1,1,0,1
0,1,0,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,0,0,1
1,1,0,1,1,0,1
0,0,0,1,1,0,1
0,0,1,1,1,0,1
0,0,0,1,0,0,1
1,1,0,1,1,0,1
0,0,0,1,1,0,1
1,1,1,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,0,0,1
1,1,0,1,1,0,1
0,0,1,1,1,0,1
0,0,1,1,1,1,1
1,0,0,1,1,1,1
0,0,0,0,0,0,0
1,1,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,1,0,1,1,1,1
1,1,1,1,1,0,1
0,0,0,1,1,0,1
0,0,0,1,0,0,1
0,0,0,1,1,0,1
0,0,0,1,1,1,1
0,0,0,0,0,0,1
0,0,1,1,1,1,1
0,0,0,1,0,1,1
0,0,0,1,1,1,1
1,1,0,1,1,0,1
0,0,0,1,1,1,1
1,1,0,1,1,1,1
0,0,1,1,1,1,1
0,0,0,1,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,1,1,0,1
0,0,0,1,1,0,1
0,1,0,1,1,0,1
0,0,0,1,1,0,1
1,1,1,1,0,1,1
0,0,1,1,1,1,1
0,1,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0,1,1,1
0,0,0,1,1,1,1
0,0,0,1,0,0,1
0,0,0,0,0,0,1
0,0,0,1,1,1,1
